CityID,City,Latitude,Max Temperature,Humidity,Cloud Information,Wind Speed
0,holme,56.11,39.2,93,16,4.7
1,noumea,-22.28,82.99,69,100,3.36
2,hermanus,-34.42,68.0,86,0,8.9
3,wanaka,-44.7,66.99,40,100,5.99
4,shitanjing,39.23,25.0,50,33,4.0
5,ushuaia,-54.8,51.8,76,90,11.41
6,upernavik,72.79,-9.36,84,0,10.07
7,barrow,71.29,-29.2,73,1,5.82
8,pisco,-13.7,71.6,30,8,23.04
9,saint anthony,45.02,17.6,52,90,11.41
10,avarua,-21.21,82.4,78,78,17.22
11,bluff,-46.6,64.99,49,100,21.0
12,cabo san lucas,22.89,75.0,60,90,11.41
13,monrovia,6.3,78.8,94,40,7.49
14,grindavik,63.84,39.2,86,90,23.04
15,albany,42.6,46.0,93,90,4.7
16,khani,41.96,39.2,93,90,2.24
17,amahai,-3.33,87.01,76,100,4.99
18,mataura,-46.19,64.99,49,99,21.0
19,hobart,-42.88,60.8,54,40,12.75
20,clyde river,70.47,-22.0,67,20,17.22
21,callaguip,18.07,73.4,88,75,3.36
22,cockburn town,21.46,78.84,75,27,29.59
23,arraial do cabo,-22.97,84.2,74,62,6.93
24,tasiilaq,65.61,15.8,43,100,9.17
25,georgetown,5.41,78.8,94,20,1.12
26,rikitea,-23.12,76.42,83,17,19.35
27,ilulissat,69.22,-5.8,58,98,27.51
28,ketchikan,55.34,35.6,93,90,9.17
29,busselton,-33.65,72.0,32,0,13.4
30,port hardy,50.7,39.2,93,90,21.92
31,coquimbo,-29.95,64.4,77,20,11.41
32,jamestown,42.1,50.0,100,90,8.05
33,apple valley,34.5,66.0,12,1,5.82
34,santa barbara,34.42,64.99,51,1,3.36
35,samarai,-10.62,80.85,83,100,3.22
36,tamsweg,47.13,36.0,92,90,3.36
37,mahebourg,-20.41,73.4,88,20,7.07
38,hithadhoo,-0.6,81.81,78,100,13.98
39,puerto ayora,-0.74,86.0,58,20,18.34
40,yellowknife,62.46,-34.01,65,40,3.36
41,garissa,-0.45,78.12,75,38,8.46
42,fairbanks,64.84,-16.01,65,1,1.41
43,tura,25.52,54.99,84,0,4.05
44,chuy,-33.7,73.24,93,81,6.71
45,vaini,-21.2,84.2,74,75,9.17
46,sunyani,7.34,76.28,54,89,5.7
47,altamira,-3.2,73.54,97,20,4.23
48,kapaa,22.08,78.8,78,40,5.82
49,lebyazhye,55.27,2.14,93,100,11.07
50,palmer,42.16,50.0,81,90,19.46
51,kununurra,-15.77,82.4,78,75,8.05
52,los algarrobos,8.5,91.4,38,20,18.34
53,new norfolk,-42.78,62.01,50,40,12.75
54,ancud,-41.87,62.6,55,90,10.29
55,saint-pierre,-21.34,73.4,64,20,6.93
56,punta arenas,-53.15,50.0,87,90,9.17
57,katsuura,35.13,46.0,56,75,8.05
58,lodwar,3.12,84.16,38,2,5.5
59,dikson,73.51,5.11,94,100,14.81
60,valdivia,-39.81,69.8,52,75,6.93
61,torbay,47.67,19.0,66,75,12.75
62,jawhar,2.78,75.43,82,100,10.36
63,atuona,-9.8,81.34,73,13,18.1
64,saint-philippe,-21.36,73.4,64,20,6.93
65,kopychyntsi,49.1,30.99,97,100,7.29
66,hienghene,-20.68,80.01,79,100,14.5
67,vestmannaeyjar,63.44,41.86,76,100,29.91
68,namibe,-15.2,72.66,73,99,6.42
69,mutare,-18.97,65.25,96,58,2.71
70,vitim,59.45,0.95,89,100,12.73
71,mount isa,-20.73,93.2,38,77,9.17
72,port lincoln,-34.73,63.0,63,80,12.44
73,isangel,-19.55,82.4,83,90,11.41
74,dali,25.7,34.27,97,10,2.26
75,bathsheba,13.22,80.6,65,40,29.97
76,ribeira grande,38.52,59.4,93,62,16.17
77,semey,50.41,0.12,90,10,11.01
78,libertador general san martin,-23.81,66.63,93,96,8.66
79,camacupa,-12.02,62.15,95,100,4.29
80,nikolskoye,59.7,30.99,92,90,6.71
81,tuktoyaktuk,69.45,-13.0,75,90,13.87
82,lorengau,-2.02,83.95,75,100,13.38
83,nishihara,26.18,62.6,77,20,4.7
84,diu,20.71,70.54,68,0,21.07
85,castro,-24.79,67.95,98,100,4.21
86,thompson,55.74,-14.8,68,20,5.82
87,khandyga,62.67,-13.85,98,100,2.37
88,port alfred,-33.59,70.0,86,95,5.99
89,bilma,18.69,63.03,24,94,7.76
90,norfolk,42.17,51.01,81,90,19.46
91,pafos,34.77,50.0,75,20,8.05
92,khatanga,71.97,6.01,95,100,10.31
93,york,40.13,51.8,61,75,3.36
94,abha,18.22,53.6,81,40,10.29
95,norman wells,65.28,-23.8,67,90,4.7
96,villazon,-22.09,58.23,55,11,4.94
97,alyangula,-13.85,80.6,88,100,4.7
98,sao miguel do araguaia,-13.28,78.44,82,97,2.48
99,butaritari,3.07,82.51,74,100,5.75
100,kirovsk,48.64,31.01,95,99,7.27
101,labuhan,-6.88,75.6,91,100,5.75
102,longyearbyen,78.22,5.0,54,0,19.46
103,san policarpo,12.18,80.13,83,52,12.97
104,dingle,11.0,75.56,88,100,11.7
105,san patricio,19.22,86.0,70,40,11.41
106,bethel,41.37,50.0,75,90,5.82
107,gisborne,-38.65,75.99,52,100,8.01
108,hirara,24.8,62.6,82,20,3.36
109,pilar,-9.6,77.0,83,29,5.82
110,pevek,69.7,-4.02,96,100,6.58
111,ishigaki,24.34,66.2,82,20,4.7
112,hasaki,35.73,39.2,80,75,3.36
113,andili,7.46,77.0,88,75,4.7
114,bambous virieux,-20.34,73.4,88,20,18.05
115,chokurdakh,70.63,-27.85,100,54,0.58
116,praia da vitoria,38.73,64.4,82,75,28.5
117,sioux lookout,50.1,-2.2,58,40,11.41
118,markova,48.68,29.79,81,92,7.16
119,calamar,10.25,89.6,55,47,10.29
120,yacuiba,-22.04,91.4,55,90,5.82
121,ushtobe,45.25,22.15,66,100,3.22
122,te anau,-45.42,54.09,81,100,8.1
123,enumclaw,47.2,46.0,93,40,9.17
124,mount gambier,-37.83,59.0,58,90,18.34
125,mar del plata,-46.43,71.29,32,100,32.21
126,inongo,-1.95,70.0,91,92,3.6
127,port elizabeth,-33.92,69.8,77,90,13.87
128,praya,14.92,69.8,60,82,19.46
129,kavarskas,55.43,39.61,97,100,1.54
130,suratgarh,29.32,47.25,37,84,4.27
131,peniche,39.36,50.0,76,64,6.93
132,kahului,20.89,75.2,83,40,18.34
133,sangar,63.92,-13.79,95,100,7.34
134,kichera,55.94,-8.86,77,2,4.18
135,yang talat,16.4,69.8,88,10,3.36
136,san matias,-16.37,83.64,64,80,5.7
137,meadow lake,34.8,43.0,30,1,21.92
138,saint-louis,16.33,63.82,14,76,13.62
139,tiksi,71.69,-16.37,87,63,6.24
140,agdam,39.99,37.8,90,96,1.88
141,saint-ambroise,48.55,30.0,92,90,2.24
142,san cristobal,7.77,89.6,33,20,23.04
143,chake chake,-5.25,83.48,76,85,9.1
144,coihaique,-45.58,57.2,62,75,9.17
145,hilo,19.73,78.8,74,75,9.17
146,magdalena,14.2,75.2,94,20,2.24
147,hervey bay,-25.3,82.99,65,40,8.05
148,tsiroanomandidy,-18.77,70.84,86,89,5.35
149,sakaiminato,35.55,37.4,86,75,4.7
150,bandarbeyla,9.49,77.56,66,0,6.04
151,chekhov,55.14,35.01,95,90,4.47
152,merke,42.87,25.2,54,16,1.63
153,nichinan,31.6,46.4,81,75,5.82
154,saskylakh,71.92,-9.11,96,97,10.87
155,otradnoye,59.78,30.99,92,90,6.71
156,puerto del rosario,28.5,64.4,77,75,19.46
157,kodiak,57.79,32.0,86,90,3.36
158,sorong,-0.88,82.67,81,90,0.72
159,hofn,64.25,43.9,74,100,30.4
160,teguldet,57.31,-3.93,97,46,6.29
161,bajil,15.06,69.21,87,85,1.81
162,marquette,46.53,28.4,74,40,4.7
163,sur,22.57,66.22,79,9,16.06
164,east london,-33.02,70.72,84,99,20.45
165,nikolsk,53.72,20.57,97,99,6.76
166,sisimiut,66.94,-3.73,99,100,2.53
167,cuamba,-14.8,68.09,97,19,1.88
168,bubaque,11.28,79.52,47,4,12.15
169,lunino,53.59,32.0,64,100,6.87
170,flinders,-34.58,66.99,63,90,10.29
171,timiryazevskiy,56.49,1.0,84,75,6.71
172,grand gaube,-20.01,73.4,88,20,7.11
173,basco,20.45,74.35,83,4,18.54
174,necochea,-38.55,63.0,69,0,8.01
175,mandera,3.94,79.72,60,11,14.88
176,darnah,32.77,59.31,66,10,11.86
177,blenheim,-41.52,79.0,43,83,3.0
178,bredasdorp,-34.53,66.99,87,0,2.51
179,bereda,43.27,43.0,100,77,5.82
180,nouadhibou,20.93,62.6,72,0,18.34
181,jaciara,-15.97,75.88,89,100,0.98
182,los llanos de aridane,28.66,64.4,68,75,9.17
183,stefan voda,46.52,34.27,72,50,5.01
184,mardin,37.31,29.86,72,0,13.71
185,ponta do sol,32.67,62.6,59,75,8.05
186,kasama,-10.21,61.41,95,98,3.74
187,xixiang,35.16,37.2,95,100,6.67
188,alofi,-19.06,84.2,70,75,17.22
189,nantucket,41.28,50.0,87,90,13.87
190,yabelo,4.88,65.84,66,22,3.06
191,jardim,-21.48,81.1,66,40,5.64
192,caldwell,43.66,37.4,64,90,16.11
193,kasangulu,-4.59,71.6,94,75,1.1
194,zabol,32.25,26.62,55,100,5.86
195,vao,-22.67,78.26,82,100,20.6
196,bagenalstown,52.7,52.0,82,100,11.99
197,belawan,3.78,77.0,94,40,3.36
198,ugoofaaru,5.67,80.94,72,70,20.6
199,chulym,55.1,-6.2,97,22,7.87
200,carepa,7.76,84.2,66,20,16.11
201,olot,42.18,52.0,93,0,2.24
202,victoria,22.29,68.0,82,20,8.05
203,aubenas,44.62,48.2,70,7,24.16
204,dumraon,25.55,47.95,67,0,6.4
205,cape town,-33.93,69.01,88,0,9.17
206,taseyevo,57.22,-5.01,98,53,1.25
207,jijiga,9.35,60.98,73,2,3.04
208,port macquarie,-31.43,89.01,78,90,13.87
209,talnakh,69.49,17.6,92,75,29.08
210,manaure,11.78,87.8,52,20,16.11
211,guarapari,-20.67,79.0,78,64,20.8
212,saldanha,-33.01,64.42,90,0,13.09
213,norwich,52.63,41.0,80,31,11.41
214,tanout,14.97,69.26,23,79,10.13
215,laguna,38.42,57.99,66,40,9.17
216,kavieng,-2.57,80.76,87,100,23.31
217,bouca,6.51,69.94,33,79,3.0
218,searcy,35.25,64.4,100,90,12.75
219,iqaluit,63.75,-13.0,62,75,12.75
220,lebu,-37.62,58.73,67,0,10.38
221,ayr,55.46,48.99,87,75,25.28
222,faanui,-16.48,81.99,75,53,20.87
223,seydi,39.48,39.25,53,100,3.53
224,karagaylinskiy,54.17,0.7,96,85,3.4
225,jalu,29.03,46.62,69,0,5.12
226,doaba,33.42,36.28,26,100,2.26
227,acapulco,16.86,86.0,74,40,8.05
228,wanning,18.8,71.2,87,58,1.81
229,sergeyevka,53.88,-0.94,93,42,8.66
230,bowen,-20.02,86.0,78,40,10.29
231,sitka,57.05,30.2,63,75,4.7
232,verkhnechusovskiye gorodki,58.17,13.46,94,98,7.76
233,maniitsoq,65.42,6.22,90,100,11.34
234,kaitangata,-46.28,61.0,71,84,3.0
235,menongue,-14.66,63.0,95,99,5.46
236,figeac,44.75,37.0,97,5,2.24
237,goma,-1.68,53.69,94,91,1.68
238,touros,-5.2,78.8,83,20,8.05
239,tuatapere,-46.13,64.99,49,100,21.0
240,oyama,36.3,45.0,80,75,2.24
241,hualmay,-11.1,69.62,78,7,6.11
242,geraldton,-28.77,77.0,31,0,13.87
243,kushiro,42.98,21.2,73,75,4.7
244,marcala,14.15,66.18,63,18,6.8
245,beloha,-25.17,69.19,90,51,6.24
246,les cayes,18.2,82.24,69,0,32.68
247,provideniya,64.38,-4.81,95,100,17.18
248,meulaboh,4.14,79.75,80,100,7.85
249,yurkivka,49.01,34.0,84,100,7.83
250,varkaus,62.33,24.01,98,0,6.44
251,tecpan,14.76,75.2,50,20,13.87
252,airai,-8.93,74.64,73,100,3.38
253,ajaccio,42.0,50.0,87,75,5.82
254,ghanzi,-21.7,69.28,84,100,5.61
255,nortelandia,-14.45,76.46,83,68,2.75
256,caravelas,-17.71,79.3,83,0,13.24
257,yulara,-25.24,73.4,60,40,20.8
258,henties bay,-22.12,66.0,87,75,1.01
259,belogorsk,50.92,-1.12,95,98,6.85
260,ponta delgada,37.73,64.4,82,20,14.99
261,kuching,1.55,75.2,94,90,5.82
262,batagay-alyta,67.8,-24.77,85,0,3.83
263,prince rupert,54.32,37.4,93,90,5.82
264,ruidoso,33.33,48.0,55,75,14.99
265,lavrentiya,65.58,2.1,63,99,14.58
266,robe,-37.18,65.37,50,20,12.88
267,talcahuano,-36.72,66.2,63,0,19.46
268,shache,38.42,15.66,73,4,1.14
269,mpulungu,-8.76,61.05,95,97,2.1
270,dawei,14.08,78.1,57,100,5.99
271,pozo colorado,-23.49,86.9,55,58,1.74
272,dawson creek,55.77,-9.4,69,90,10.29
273,lexington,37.99,64.0,63,90,10.29
274,chingirlau,51.09,11.32,94,90,2.66
275,zhangjiakou,40.81,2.34,83,100,6.22
276,ust-shonosha,61.15,20.48,94,87,7.61
277,svetlogorsk,52.63,35.2,97,100,11.61
278,kieta,-6.22,82.65,77,100,6.55
279,oktyabrskoye,43.06,26.55,96,99,0.49
280,havre-saint-pierre,50.23,12.2,92,90,4.7
281,jales,-20.27,77.92,78,100,4.45
282,guerande,47.33,44.6,93,75,1.12
283,ruy barbosa,-12.28,70.79,75,35,5.79
284,san ramon,37.78,61.0,58,1,3.36
285,roald,62.58,50.0,42,100,14.99
286,derzhavinsk,51.1,7.47,84,84,5.28
287,college,64.86,-2.2,65,1,0.98
288,nyurba,63.28,2.52,94,100,10.98
289,qaanaaq,77.48,-4.45,48,0,8.28
290,sinnamary,5.38,79.63,76,0,16.42
291,lasa,46.62,32.0,98,75,4.7
292,sept-iles,50.2,14.0,85,90,3.36
293,yerbogachen,61.28,2.86,83,100,15.55
294,port keats,-14.25,81.91,82,100,14.81
295,jumla,29.27,17.13,56,7,7.29
296,mariveles,14.48,75.2,88,40,8.05
297,paredon,16.03,81.7,62,0,2.46
298,balabac,7.99,81.07,75,100,9.51
299,bahia honda,22.9,75.58,84,71,8.16
300,ahwa,20.75,63.82,48,0,9.73
301,lompoc,34.64,64.99,51,1,3.36
302,kidal,18.44,70.63,41,100,10.0
303,tucupita,9.06,71.44,94,12,4.05
304,dunedin,-45.87,65.61,41,85,20.42
305,nogliki,51.83,6.06,92,90,2.24
306,nanortalik,60.14,15.75,82,84,9.01
307,waterloo,43.47,48.0,100,90,5.82
308,russell,32.35,71.6,68,75,8.05
309,cartagena,10.4,89.6,55,87,10.29
310,pangnirtung,66.15,-23.8,67,20,0.92
311,bengkulu,-3.8,71.46,92,100,8.03
312,tapah,4.2,77.0,94,20,2.19
313,belmonte,-15.86,78.8,74,40,8.05
314,pombia,45.65,42.01,82,0,2.24
315,vallenar,-28.57,63.37,68,75,3.62
316,karratha,-20.74,85.01,73,97,17.05
317,palana,59.12,5.54,95,99,1.07
318,grand-santi,4.25,73.08,90,45,4.45
319,dalby,-27.18,77.0,61,91,6.93
320,lyaskelya,61.77,25.57,92,11,4.7
321,srednekolymsk,67.45,-22.22,98,100,2.06
322,san quintin,30.48,60.4,64,0,11.05
323,taoudenni,22.68,53.55,24,0,8.93
324,vardo,70.37,28.4,79,80,10.29
325,skelleftea,64.75,26.6,86,43,8.05
326,woodstock,43.13,46.0,100,90,5.82
327,zhigansk,66.77,-10.1,95,100,21.23
328,puerto escondido,15.85,84.2,70,5,9.17
329,antofagasta,-23.65,69.8,73,40,13.87
330,brookside,39.67,52.0,87,1,3.36
331,bosaso,11.28,77.18,71,2,4.74
332,ostrovnoy,68.05,25.12,95,97,11.43
333,trat,12.5,81.0,72,100,1.86
334,haines junction,60.75,-28.1,98,48,6.87
335,esperance,-33.87,59.0,62,68,6.93
336,cherskiy,68.75,-16.11,96,100,5.53
337,tashtagol,52.77,2.71,96,49,2.3
338,kandrian,-6.22,86.22,65,86,1.83
339,nadym,65.53,13.26,93,97,17.16
340,rawson,-43.3,71.31,40,0,16.98
341,mackenzie,55.3,-2.2,77,90,9.17
342,ondjiva,-17.07,71.46,61,100,2.1
343,plettenberg bay,-34.05,68.74,77,0,5.53
344,fenoarivo,-18.93,62.6,88,20,9.17
345,leningradskiy,69.38,-7.04,81,100,17.76
346,shaunavon,49.65,3.67,94,63,15.93
347,nha trang,12.25,73.4,88,20,4.7
348,nome,64.5,12.0,43,1,21.92
349,dargaville,-35.93,72.82,47,92,6.73
350,teya,60.38,-3.42,93,76,7.54
351,borger,52.92,39.0,93,0,6.93
352,ixtapa,20.7,78.8,74,90,10.29
353,richards bay,-28.78,76.08,81,53,14.05
354,cidreira,-30.18,77.11,88,74,14.5
355,anadyr,64.75,14.0,85,20,42.5
356,matagami,49.75,24.8,85,90,11.41
357,miranda,3.25,82.4,83,75,4.7
358,berlevag,70.86,32.0,96,75,9.17
359,hami,42.8,14.81,62,0,3.58
360,yeppoon,-23.13,82.4,58,75,5.82
361,channahon,41.43,46.99,100,90,10.29
362,westport,41.14,50.0,75,75,9.57
363,namatanai,-3.67,81.5,80,100,12.97
364,bridgton,44.05,41.0,56,20,9.17
365,yenagoa,4.92,77.27,86,3,4.05
366,bilibino,68.05,0.03,69,100,0.36
367,concarneau,47.88,44.6,93,75,1.12
368,awjilah,29.11,46.62,69,0,5.12
369,intipuca,13.2,87.31,56,0,11.63
370,dudinka,69.41,17.6,92,75,29.08
371,ondangwa,-17.92,78.8,61,100,3.36
372,ko samui,9.54,80.6,83,20,4.25
373,axim,4.87,77.18,88,0,3.78
374,ada,43.42,36.0,64,90,16.11
375,codrington,-38.27,57.61,71,51,17.83
376,sao filipe,14.9,67.46,73,52,20.29
377,turka,49.15,42.01,70,85,7.0
378,sindor,62.86,21.06,94,96,7.45
379,bonavista,48.65,17.01,77,100,7.0
380,soe,-9.86,76.26,81,100,7.31
381,mecca,21.43,54.95,68,55,5.61
382,marawi,8.0,73.99,93,56,5.01
383,paraopeba,-19.28,82.4,61,75,3.36
384,riyadh,24.63,51.8,50,0,4.7
385,le mars,42.79,15.01,72,75,14.99
386,broken hill,-31.95,62.6,55,84,20.8
387,fortuna,40.6,51.01,71,90,11.41
388,samana,19.21,78.8,88,40,11.41
389,gwadar,25.12,71.94,60,19,19.42
390,carutapera,-1.2,81.64,78,0,16.06
391,kavaratti,10.57,80.94,75,99,10.54
392,burgersdorp,-31.0,63.43,81,33,6.08
393,santiago del estero,-27.8,86.38,56,66,9.35
394,husavik,66.04,41.0,72,75,29.97
395,manzhouli,49.6,-8.16,84,0,6.46
396,lumut,4.23,77.0,94,40,2.24
397,orbetello,42.44,44.01,93,0,3.36
398,porto novo,6.5,82.4,94,15,6.93
399,nizhnyaya poyma,56.16,-1.43,97,13,2.37
400,fenoarivo atsinanana,-17.37,72.86,86,53,7.74
401,sembe,1.65,71.17,80,97,4.63
402,nuuk,64.18,6.8,55,20,10.29
403,yertsevo,60.8,22.1,93,49,7.05
404,duiwelskloof,-23.69,64.0,99,99,4.0
405,altay,47.87,2.01,69,96,5.95
406,bagdarin,54.43,-13.07,87,0,5.57
407,nipawin,53.37,-18.4,75,1,6.93
408,puerto colombia,10.99,84.2,70,40,18.34
409,sola,-13.88,79.93,85,100,22.55
410,beringovskiy,63.05,22.87,94,100,27.45
411,saint george,37.1,46.4,26,1,11.41
412,vila velha,-20.33,79.0,78,64,20.8
413,polovinnoye,54.79,-1.46,95,71,10.13
414,dawlatabad,36.41,41.09,55,100,3.91
415,lubao,14.92,75.2,94,75,4.7
416,nosy varika,-20.58,72.72,81,86,4.45
417,huangchuan,32.13,36.64,92,100,5.17
418,najran,17.49,66.2,52,100,5.82
419,aberdeen,57.14,45.0,87,90,27.51
420,klaksvik,62.23,44.6,93,100,19.46
421,maragogi,-9.01,81.61,74,56,12.44
422,hit,33.64,48.69,77,0,11.63
423,guerrero negro,27.98,70.21,23,0,10.45
424,lagoa,39.05,62.82,87,33,24.79
425,inhambane,-23.86,80.94,79,94,11.79
426,kruisfontein,-34.0,65.8,84,90,15.01
427,pimenta bueno,-11.67,73.94,93,64,0.49
428,saint-georges,12.06,80.6,69,40,20.8
429,qandala,11.47,74.37,70,0,2.06
430,mahenge,-8.68,71.87,96,100,4.74
431,dafeng,23.45,48.87,77,82,6.53
432,itupiranga,-5.13,82.4,83,40,2.24
433,helong,42.54,7.36,90,0,5.19
434,karaton,-6.34,77.0,94,40,4.7
435,port-gentil,-0.72,80.6,88,40,2.24
436,saint marys,30.73,75.2,94,90,8.05
437,mitu,1.2,76.33,78,61,1.25
438,aquiraz,-3.9,81.0,78,20,4.7
439,inuvik,68.35,-2.2,76,75,5.82
440,praxedis guerrero,31.37,48.0,25,75,14.99
441,batavia,43.0,50.0,93,90,8.05
442,eyl,7.98,77.83,72,58,8.75
443,mana,5.66,71.83,89,14,2.33
444,bari,41.12,44.01,87,100,4.7
445,zyryanka,65.75,-29.13,99,100,3.44
446,san carlos de bariloche,-41.15,62.6,42,0,24.16
447,uzunovo,54.54,28.2,94,100,3.06
448,ternate,0.8,80.96,80,100,1.77
449,okhotsk,59.38,-15.97,73,0,10.58
450,siguiri,11.67,70.9,23,0,4.65
451,yarensk,62.17,20.48,94,92,6.98
452,santa gertrudes,-22.46,78.8,83,97,2.24
453,porto belo,-27.16,84.0,88,40,13.87
454,mayo,38.89,54.0,87,1,5.82
455,nago,26.59,64.4,77,20,4.7
456,america dourada,-11.46,68.81,74,11,6.64
457,narsaq,60.92,3.2,59,77,5.82
458,fort nelson,58.81,-23.8,67,75,2.24
459,sambo creek,15.82,84.2,79,75,2.24
460,lata,40.16,52.0,100,17,2.24
461,gabu,12.28,73.58,15,34,5.88
462,beruwala,6.48,72.55,92,78,4.97
463,tiznit,29.58,51.35,69,0,0.92
464,yumen,40.28,16.75,69,95,5.5
465,mehamn,71.04,32.0,95,75,9.17
466,saint-augustin,51.23,24.22,90,100,23.64
467,portland,45.52,48.0,81,90,18.34
468,severo-kurilsk,50.68,22.44,91,92,26.78
469,waitara,-38.92,64.99,64,75,8.99
470,quelimane,-17.88,82.4,88,20,4.7
471,bacolod,10.67,78.31,75,67,7.27
472,ulaanbaatar,47.91,-18.4,68,100,2.24
473,brikama,13.27,69.8,46,47,5.82
474,berwick,41.05,45.0,81,90,5.06
475,madimba,-10.4,78.8,94,40,4.25
476,kailua,21.4,78.8,94,90,8.05
477,pathein,16.78,74.43,80,95,10.56
478,challans,46.84,44.6,100,75,1.12
479,don benito,38.96,43.0,83,4,2.75
480,harlingen,26.19,80.6,69,75,34.45
481,naco,31.33,50.0,31,1,20.8
482,petukhovo,55.07,-1.73,96,60,9.6
483,zeulenroda,50.65,41.0,80,68,9.17
484,lovozero,68.0,22.64,92,97,7.45
485,mezapa,15.58,84.2,83,75,4.7
486,phan thiet,10.93,72.05,73,87,2.28
487,abu dhabi,24.47,71.6,83,40,18.34
488,nalut,30.33,45.66,56,0,8.43
489,ayan,56.45,-2.97,72,88,11.03
490,mahina,-17.51,84.0,70,3,10.0
491,hamilton,39.18,61.0,87,90,3.36
492,hokitika,-42.72,58.01,71,100,9.82
493,hay river,60.82,-23.8,74,20,2.24
494,galesong,-5.32,77.0,100,40,3.36
495,bandiagara,14.35,71.24,18,23,19.19
496,tessalit,20.2,59.72,17,100,13.94
497,koumac,-20.57,80.71,59,100,5.68
498,pirae,-17.52,84.0,70,3,10.0
499,ivanava,52.15,41.49,93,99,13.38
500,alice springs,-23.7,77.0,50,90,14.99
501,klang,3.03,77.0,94,20,1.12
502,pavino,59.11,19.38,95,67,5.7
503,conde,-7.26,80.6,78,20,9.17
504,phulabani,20.47,52.88,74,0,1.79
505,horodnya,51.89,33.53,97,100,8.59
506,half moon bay,37.46,61.0,81,1,3.36
507,sorland,67.67,37.4,86,40,4.7
508,muisne,0.6,82.4,83,75,11.41
509,byron bay,-28.65,84.2,61,73,19.46
510,prieska,-29.66,76.78,27,0,4.97
511,cayenne,4.94,78.8,74,2,4.7
512,watsa,3.04,63.57,49,1,1.14
513,paamiut,61.99,6.35,57,12,10.31
514,tomball,30.1,75.2,94,90,16.11
515,merrill,45.18,28.4,58,40,6.93
516,vitoria da conquista,-14.87,67.75,82,0,7.96
517,kloulklubed,7.04,77.0,94,90,4.99
518,casablanca,33.59,59.0,93,75,2.24
519,vyazemskiy,47.54,6.85,92,100,3.18
520,havoysund,71.0,32.0,61,90,12.75
521,surin,14.88,72.0,83,83,8.05
522,almaznyy,48.04,33.8,94,90,4.47
523,tilichiki,60.47,0.63,89,100,10.33
524,manokwari,-0.87,79.84,70,93,2.19
525,amarillo,35.22,42.8,56,90,25.28
526,ayagoz,47.97,3.36,80,62,5.03
527,ikom,5.97,75.2,85,41,2.44
528,ler,8.3,63.63,17,0,6.69
529,kutum,14.2,51.6,28,0,4.88
530,souillac,-20.52,73.4,88,20,7.07
531,melfi,41.0,39.2,6,5,8.05
532,virginia beach,36.85,64.4,72,1,4.7
533,palora,-1.7,71.6,78,75,2.15
534,waingapu,-9.66,82.44,77,100,11.92
535,muros,42.78,46.0,100,20,3.36
536,sao felix do xingu,-6.64,73.35,94,78,1.23
537,tel aviv-yafo,32.08,48.2,93,40,4.7
538,sri aman,1.24,75.2,100,100,2.86
539,kuryk,43.2,34.84,89,100,9.04
540,kyabe,9.45,70.7,26,2,4.03
541,parabel,58.7,-1.91,95,100,9.26
542,orebro,59.27,23.0,92,0,5.82
543,rock falls,41.78,44.01,93,90,10.29
544,tomatlan,19.93,77.11,50,66,2.21
545,esmeraldas,-19.76,82.4,61,75,3.36
546,aljezur,37.32,52.0,77,9,8.99
547,amapa,1.0,71.98,97,32,4.07
548,buchanan,5.88,78.8,94,40,4.16
549,paracuru,-3.41,81.0,78,20,4.7
550,road town,18.42,80.6,65,40,17.22
551,kodinar,20.79,63.63,49,0,9.44
552,bud,39.45,57.2,93,90,5.82
553,tranas,58.04,30.2,100,3,6.93
554,broome,42.25,43.0,80,90,5.82
555,moroni,-11.7,78.8,83,20,4.7
556,port hedland,-20.32,80.6,69,76,11.41
557,praia,14.92,69.8,60,82,19.46
558,kharitonovo,61.4,21.29,95,99,6.91
559,tarko-sale,64.92,16.0,88,100,21.23
560,saint-joseph,-21.37,73.4,64,20,6.93
561,parainen,60.3,30.99,100,0,3.36
562,nongan,44.38,-0.4,77,45,6.71
563,gasa,31.5,48.2,93,40,4.7
564,seymchan,62.88,-17.41,97,100,1.01
565,julio de castilhos,-29.23,71.6,94,75,5.82
566,guangyuan,32.44,34.0,81,12,3.18
567,gigmoto,13.78,80.02,77,67,11.79
568,misratah,32.38,58.19,65,6,12.03
569,radhanpur,23.83,53.76,40,0,8.14
570,guanica,17.97,82.0,72,90,10.29
571,dubbo,-32.25,71.6,56,100,10.29
572,buraydah,26.33,50.0,71,75,9.17
573,tupik,54.43,-13.9,94,51,3.11
574,jasper,37.2,60.8,93,90,16.11
575,soyo,-6.13,75.61,85,100,5.19
576,hauterive,46.09,39.0,93,75,5.82
577,sangmelima,2.93,70.95,81,100,4.0
578,garowe,8.41,70.48,77,17,8.9
579,monmouth,40.3,54.0,66,75,3.36
580,tromso,69.65,34.0,96,75,35.57
581,katobu,-4.94,81.23,84,97,5.93
582,ambilobe,-13.2,76.1,83,100,3.56
